book_title,author,goodreads_url,reviews_count,avg_rating,shelves
Double Apex (Frontrunners #1),Josie Juniper,https://www.goodreads.com/book/show/207573382-double-apex,,,
The Little Things (Second Hope #1),Jessica Prince,https://www.goodreads.com/book/show/215184986-the-little-things,,,
The Snowball Effect,Haley Cass,https://www.goodreads.com/book/show/217192122-the-snowball-effect,,,
Anyone But The Superstar (Anyone But You Series #3),Sara L. Hudson,https://www.goodreads.com/book/show/201801963-anyone-but-the-superstar,,,
Crown and Dragon (Bound by Dragons #3),Alisha Klapheke,https://www.goodreads.com/book/show/216811925-crown-and-dragon,,,
"Wild Heart (The Westwoods, #3)",A.K. Evans,https://www.goodreads.com/book/show/214555241-wild-heart,,,
A Very Irish Christmas,Debbie  Johnson,https://www.goodreads.com/book/show/216116320-a-very-irish-christmas,,,
"The Rogue (Hideaway Spring,s #3)",Roxanne Tully,https://www.goodreads.com/book/show/208895134-the-rogue,,,
"Three to Fall (Saint View Slayers vs. Sinners, #3)",Elle Thorpe,https://www.goodreads.com/book/show/213960212-three-to-fall,,,
"Dead Late (Things Unseen, #3)",Anise Eden,https://www.goodreads.com/book/show/213831899-dead-late,,,
"Ascension (Alternity, #1)",Brittany Engstrand,https://www.goodreads.com/book/show/207012310-ascension,,,
"A Classy Affair in the Country (The Glenbriar, #10)",Margaret Amatt,https://www.goodreads.com/book/show/216671140-a-classy-affair-in-the-country,,,
"The Knight of the Trove (Knights of Mellora, #1)",Holly     Rose,https://www.goodreads.com/book/show/218202583-the-knight-of-the-trove,,,
Bound By The Goddess: A Why Choose Fated Mates Witch Romance (The Morrigan Soul Bond Series Book 1),Selina Bevan,https://www.goodreads.com/book/show/217464224-bound-by-the-goddess,,,
The Election (Capsburg Book 1),Kinsey Wiseman,https://www.goodreads.com/book/show/216954615-the-election,,,
"The Blood Orchid (The Scarlet Alchemist, #2)",Kylie Lee Baker,https://www.goodreads.com/book/show/59462465-the-blood-orchid,,,
Keep Me If You Can,Cheryl Terra,https://www.goodreads.com/book/show/217238774-keep-me-if-you-can,,,
"Love to Loathe Him (Billionaire Brits, #1)",Rosa Lucas,https://www.goodreads.com/book/show/219807085-love-to-loathe-him,,,
Unexpectedly Falling (Blackstone Falls #2),Alexandra Hale,https://www.goodreads.com/book/show/213627550-unexpectedly-falling,,,
"Deadlines, Donuts & Dreidels: A Hanukkah Romance (Holidays, Heart and Chutzpah, 3)",Jennifer Wilck,https://www.goodreads.com/book/show/208953845-deadlines-donuts-dreidels,,,
Torch (Diamond MC Book 4),Lila Rose,https://www.goodreads.com/book/show/214881462-torch,,,
Endless Love,M.  James,https://www.goodreads.com/book/show/218680469-endless-love,,,
Shattered Wills: A Short Story of Self-Discovery of Pet Parents by Chance,Nishant Garg,https://www.goodreads.com/book/show/220879853-shattered-wills,,,
Soul,Georgia Spearing,https://www.goodreads.com/book/show/217139058-soul,,,
A Guardian Angel's Journey,Leon W. Poldy,https://www.goodreads.com/book/show/242936157-a-guardian-angel-s-journey,,,
The Lady's Choice: A Forced Proximity Epic Romantasy,Bernadette Rowley,https://www.goodreads.com/book/show/246384036-the-lady-s-choice,,,
K9 Mine,Shannon MacLeod,https://www.goodreads.com/book/show/238652668-k9-mine,,,
"Bound By A Promise (Brutal Vows, #3)",Aleatha Romig,https://www.goodreads.com/book/show/214027102-bound-by-a-promise,,,
