book_title,author,goodreads_url,reviews_count,avg_rating,shelves,date_scraped,status
When Everything Is Blue,Laura Lascarso,https://www.goodreads.com/book/show/38358824-when-everything-is-blue,,,"{""m m romance"": null, ""friends to lovers"": null, ""young adult"": null, ""romance"": null, ""contemporary"": null, ""lgbt"": null, ""coming of age"": null, ""high school"": null, ""sports"": null, ""queer"": null}",2026-03-21,success
Over and Over Again,Cole McCade,https://www.goodreads.com/book/show/39933692-over-and-over-again,493.0,4.14,"{""m m romance"": null, ""romance"": null, ""contemporary"": null, ""slow burn"": null, ""lgbt"": null, ""friends to lovers"": null, ""contemporary romance"": null, ""audiobook"": null, ""queer"": null, ""forced proximity"": null}",2026-03-21,success
"Alpha Heat (Heat of Love, #2)",Leta Blake,https://www.goodreads.com/book/show/40103645-alpha-heat,448.0,4.16,"{""omegaverse"": null, ""m m romance"": null, ""romance"": null, ""fantasy"": null, ""paranormal"": null, ""lgbt"": null, ""audiobook"": null, ""m m m"": null, ""abuse"": null, ""polyamory"": null}",2026-03-21,success
Freedom (Incubus #5),Emma Jaye,https://www.goodreads.com/book/show/39151984-freedom,,,"{""m m romance"": null, ""paranormal"": null, ""romance"": null, ""lgbt"": null}",2026-03-21,success
"The Hockey Player's Heart (Hockey Hearts, #1)",Jeff  Adams,https://www.goodreads.com/book/show/36902263-the-hockey-player-s-heart,,,"{""sports"": null, ""m m romance"": null, ""romance"": null, ""hockey"": null, ""contemporary"": null, ""lgbt"": null, ""friends to lovers"": null, ""fiction"": null, ""sports romance"": null, ""m m sports romance"": null}",2026-03-21,success
From the Ashes,C.M. Valencourt,https://www.goodreads.com/book/show/42075809-from-the-ashes,45.0,4.01,"{""m m romance"": null, ""romance"": null, ""lgbt"": null, ""friends to lovers"": null, ""contemporary"": null, ""college"": null, ""road trip"": null, ""gay"": null, ""queer"": null, ""amazon"": null}",2026-03-21,success
A Breath of Innocence (Guns n' Boys #8),K.A. Merikan,https://www.goodreads.com/book/show/38910362-a-breath-of-innocence,92.0,4.2,"{""m m romance"": null, ""romance"": null, ""contemporary"": null, ""dark"": null, ""crime"": null, ""college"": null, ""lgbt"": null, ""dark romance"": null, ""new adult"": null, ""gay"": null}",2026-03-21,success
"On His Knees (Blasphemy, #4)",Laura Kaye,https://www.goodreads.com/book/show/36651487-on-his-knees,,,"{""bdsm"": null, ""m m romance"": null, ""romance"": null, ""contemporary"": null, ""erotica"": null, ""lgbt"": null, ""erotic romance"": null, ""contemporary romance"": null, ""novella"": null, ""fiction"": null}",2026-03-21,success
"Two Man Station (Emergency Services, #1)",Lisa Henry,https://www.goodreads.com/book/show/36296311-two-man-station,353.0,4.0,"{""m m romance"": null, ""romance"": null, ""contemporary"": null, ""lgbt"": null, ""australia"": null, ""contemporary romance"": null, ""slow burn"": null, ""queer"": null, ""abuse"": null, ""gay"": null}",2026-03-21,success
The Glasshouse (Lavender Shores #6),Rosalind Abel,https://www.goodreads.com/book/show/39701645-the-glasshouse,84.0,4.09,"{""m m romance"": null, ""audiobook"": null, ""romance"": null, ""contemporary"": null, ""lgbt"": null, ""sports"": null, ""m m contemporary"": null, ""contemporary romance"": null, ""mental health"": null, ""celebrity"": null}",2026-03-21,success
