book_title,author,goodreads_url,reviews_count,avg_rating,shelves
We Met in December,Rosie Curtis,https://www.goodreads.com/book/show/44285798-we-met-in-december,,,
"Boyfriend for Hire (Escorts, Inc., #1)",Kendall Ryan,https://www.goodreads.com/book/show/41812368-boyfriend-for-hire,,,
"Strong, Silent Cowboy (Moving Violations #2)",Lora Leigh,https://www.goodreads.com/book/show/43263564-strong-silent-cowboy,,,
"Wicked with the Scoundrel (Wicked Secrets, #3)",Elizabeth   Bright,https://www.goodreads.com/book/show/43602037-wicked-with-the-scoundrel,,,
"Save the Date (Dating, #1)",Monica  Murphy,https://www.goodreads.com/book/show/45322396-save-the-date,,,
"The Beautiful (The Beautiful, #1)",Renée Ahdieh,https://www.goodreads.com/book/show/42265183-the-beautiful,,,
We Are the Perfect Girl,Ariel Kaplan,https://www.goodreads.com/book/show/42359576-we-are-the-perfect-girl,,,
"A Wicked Reputation (Once Wicked, #3)",Liana LeFey,https://www.goodreads.com/book/show/43602482-a-wicked-reputation,,,
"The Devouring Gray (The Devouring Gray, #1)",C.L. Herman,https://www.goodreads.com/book/show/36535913-the-devouring-gray,,,
Tin Heart,Shivaun Plozza,https://www.goodreads.com/book/show/40607217-tin-heart,,,
"The Orchid Throne (Forgotten Empires, #1)",Jeffe Kennedy,https://www.goodreads.com/book/show/43263508-the-orchid-throne,,,
The Soccer Player and the Single Mom,Kyra Jacobs,https://www.goodreads.com/book/show/43799238-the-soccer-player-and-the-single-mom,,,
The Art of the Scandal,Suzanne Tierney,https://www.goodreads.com/book/show/50060066-the-art-of-the-scandal,,,
"Space (Laws of Physics, #2; Hypothesis, #2.2)",Penny Reid,https://www.goodreads.com/book/show/30315702-space,,,
"The Birds, The Bees, and You and Me",Olivia Hinebaugh,https://www.goodreads.com/book/show/36192182-the-birds-the-bees-and-you-and-me,,,
"No Tricks, Just Treats",Tijan,https://www.goodreads.com/book/show/43263513-no-tricks-just-treats,,,
An Unwilling Earl,Sharon Cullen,https://www.goodreads.com/book/show/43837324-an-unwilling-earl,,,
"The Play (Briar U, #3)",Elle Kennedy,https://www.goodreads.com/book/show/43877254-the-play,,,
"Awk-Weird (Ice Knights, #2)",Avery Flynn,https://www.goodreads.com/book/show/52831740-awk-weird,,,
Spin,Lamar Giles,https://www.goodreads.com/book/show/39983507-spin,,,
"Lethal Nights (Brute Force, #3)",Lora Leigh,https://www.goodreads.com/book/show/43263395-lethal-nights,,,
Saving the Scot,Jennifer Trethewey,https://www.goodreads.com/book/show/43799377-saving-the-scot,,,
"The Matchmaker's Mistletoe Mission (Boots and Bouquets, #0.5)",Jaci Burton,https://www.goodreads.com/book/show/43807371-the-matchmaker-s-mistletoe-mission,,,
"Once Upon a Cowboy Christmas (River Ranch, #3)",Soraya M. Lane,https://www.goodreads.com/book/show/43263451-once-upon-a-cowboy-christmas,,,
Love at First Like,Hannah Orenstein,https://www.goodreads.com/book/show/42201658-love-at-first-like,,,
The World of Throne of Glass,Sarah J. Maas,https://www.goodreads.com/book/show/33590859-the-world-of-throne-of-glass,,,
"Blitzed (Playbook, #3)",Alexa  Martin,https://www.goodreads.com/book/show/44512841-blitzed,,,
Willful Depravity,Ingrid Hahn,https://www.goodreads.com/book/show/42967951-willful-depravity,,,
The Bookish Life of Nina Hill,Abbi Waxman,https://www.goodreads.com/book/show/42379022-the-bookish-life-of-nina-hill,,,
"Making Up (Shacking Up, #4)",Helena Hunting,https://www.goodreads.com/book/show/45289506-making-up,,,
Fever (Dark Kings #16),Donna Grant,https://www.goodreads.com/book/show/43263443-fever,,,
"American Royals (American Royals, #1)",Katharine McGee,https://www.goodreads.com/book/show/43744300-american-royals,,,
A Cowboy Like You (Heart of Texas #4),Donna Grant,https://www.goodreads.com/book/show/43782404-a-cowboy-like-you,,,
"Get a Life, Chloe Brown (The Brown Sisters, #1)",Talia Hibbert,https://www.goodreads.com/book/show/43884209-get-a-life-chloe-brown,,,
"The Friend Zone (The Friend Zone, #1)",Abby Jimenez,https://www.goodreads.com/book/show/41945163-the-friend-zone,,,
Surge (The Bolt Saga #13-15),Angel   Payne,https://www.goodreads.com/book/show/41068108-surge,,,
Letters from Peaceful Lane,Janet Dailey,https://www.goodreads.com/book/show/42297349-letters-from-peaceful-lane,,,
Wildflower Heart (The Wildflower House #1),Grace Greene,https://www.goodreads.com/book/show/40817030-wildflower-heart,,,
Women's Work: A Reckoning with Work and Home,Megan K. Stack,https://www.goodreads.com/book/show/40847163-women-s-work,,,
True Places,Sonja Yoerg,https://www.goodreads.com/book/show/39904267-true-places,,,
"Dare Me Again (Angel Fire Falls, #2)",Shelly Alexander,https://www.goodreads.com/book/show/40787260-dare-me-again,,,
The Last of the Stanfields,Marc Levy,https://www.goodreads.com/book/show/39099907-the-last-of-the-stanfields,,,
The Magnolia Inn,Carolyn Brown,https://www.goodreads.com/book/show/40227501-the-magnolia-inn,,,
Lilac Lane (Chesapeake Shores #14),Sherryl Woods,https://www.goodreads.com/book/show/39217751-lilac-lane,,,
"Nexus (The Androma Saga, #2)",Sasha Alsberg,https://www.goodreads.com/book/show/37971411-nexus,,,
A Match Made in Mehendi,Nandini Bajpai,https://www.goodreads.com/book/show/40697008-a-match-made-in-mehendi,,,
Field Notes on Love,Jennifer E. Smith,https://www.goodreads.com/book/show/43601774-field-notes-on-love,,,
