book_title,author,goodreads_url,reviews_count,avg_rating,shelves
The Foxxxy Gentlemen's Club: Luca (Foxxxy #0.5),Nik Knight,https://www.goodreads.com/book/show/61217161-the-foxxxy-gentlemen-s-club,,,
His Rejected Alpha Mate (Sweetwater Pack #2),Jax Stuart,https://www.goodreads.com/book/show/61788272-his-rejected-alpha-mate,,,
Baby and the Billionaire (Shifter Rescue #3),Victoria Sue,https://www.goodreads.com/book/show/59225350-baby-and-the-billionaire,,,
A Mage's Guide to Aussie Terrors (R'iyah Family Archives #2),A.J. Sherwood,https://www.goodreads.com/book/show/60894880-a-mage-s-guide-to-aussie-terrors,,,
Per Sanguinem,Ashlyn Drewek,https://www.goodreads.com/book/show/63094435-per-sanguinem,,,
"Seraph (Monstrous, #6)",Lily Mayne,https://www.goodreads.com/book/show/61976788-seraph,,,
Claiming Rys (Dark Forest Pack #1),Annabelle Jacobs,https://www.goodreads.com/book/show/61433893-claiming-rys,,,
Ghost of Deceit (Medium Trouble #3),Alice  Winters,https://www.goodreads.com/book/show/61818947-ghost-of-deceit,,,
Blow Me Away,Billie Bloom,https://www.goodreads.com/book/show/59729693-blow-me-away,,,
Step Bully,Willow Dixon,https://www.goodreads.com/book/show/61431879-step-bully,,,
Heart2Heart: A Charity Anthology Volume 5,Leslie Copeland,https://www.goodreads.com/book/show/59133053-heart2heart,,,
P.S. I Loathe You,Isla Olsen,https://www.goodreads.com/book/show/61392340-p-s-i-loathe-you,,,
"Hired: Hadley (The Foster Brothers, #2)",Nora Phoenix,https://www.goodreads.com/book/show/60059726-hired,,,
"Fever (Operation Justice Force, #0.5)",Reese Knightley,https://www.goodreads.com/book/show/59995258-fever,,,
Alpha's Oath (Stormshield #2),Claire Cullen,https://www.goodreads.com/book/show/60168103-alpha-s-oath,,,
"Catalyst (Chain Reaction, #1)",Aurora Crane,https://www.goodreads.com/book/show/63172960-catalyst,,,
Always (Indigo Falls #1),Loren Leigh,https://www.goodreads.com/book/show/60532949-always,,,
"Jilted: Jaren (The Foster Brothers, #1)",Nora Phoenix,https://www.goodreads.com/book/show/59821295-jilted,,,
"Awfully Ambrose (Bad Boyfriends, Inc. #1)",Lisa Henry,https://www.goodreads.com/book/show/60823176-awfully-ambrose,,,
Hostile,Nicole Dykes,https://www.goodreads.com/book/show/60167858-hostile,,,
"Wonderland (In Vino Veritas, #5)",Rachel Ember,https://www.goodreads.com/book/show/61147559-wonderland,,,
"Illicit Desires (The Deepest Desires, #3)",Ashley      James,https://www.goodreads.com/book/show/60885668-illicit-desires,,,
"The Boyfriend Comeback (Winner Takes All, #1)",Lauren Blakely,https://www.goodreads.com/book/show/61298800-the-boyfriend-comeback,,,
"Never Trust a Guy With Fangs (Covens of Eaton Falls, #1)",Mia  Monroe,https://www.goodreads.com/book/show/60424307-never-trust-a-guy-with-fangs,,,
"Cartel Wars Boxset (Cartel Wars, #1-3)",Ashlynn Mills,https://www.goodreads.com/book/show/60015178-cartel-wars-boxset,,,
Dysfunctional,Isabel Lucero,https://www.goodreads.com/book/show/60828151-dysfunctional,,,
"Kieran (Baton Blue Daddy, #1)",Avery Tu,https://www.goodreads.com/book/show/61100601-kieran,,,
Catering to Love (Departments of Love #1),Joshua Ian,https://www.goodreads.com/book/show/62033800-catering-to-love,,,
"Sapphire Spring (Sapphire Cove, #2)",C. Travis Rice,https://www.goodreads.com/book/show/60391263-sapphire-spring,,,
"In Pain and Blood (Spellster and the Hound, #1)",Aldrea Alien,https://www.goodreads.com/book/show/60325583-in-pain-and-blood,,,
Co-Star: Spicy fake boyfriend M/M romance (Love in L' Ancorsa Book 1),J. Tomala,https://www.goodreads.com/book/show/62021044-co-star,,,
The Goblin Twins,Kit Barrie,https://www.goodreads.com/book/show/62575677-the-goblin-twins,,,
Sass (Style #3),Jay Hogan,https://www.goodreads.com/book/show/61439116-sass,,,
"Squishy Crushy Something (Happy Lucky Everything, #1)",Kieran Frank,https://www.goodreads.com/book/show/60113824-squishy-crushy-something,,,
Pure Silence,K.L. Hiers,https://www.goodreads.com/book/show/61436182-pure-silence,,,
"The Ghosts of Queensfort (Queensfort Ghosts, #0.5)",W.M. Fawkes,https://www.goodreads.com/book/show/59995497-the-ghosts-of-queensfort,,,
"No More Secrets (Zone Defense, #2)",Becca Seymour,https://www.goodreads.com/book/show/59577053-no-more-secrets,,,
"Deceiver of Minds (SPECTR Series 3, #5)",Jordan L. Hawk,https://www.goodreads.com/book/show/61128774-deceiver-of-minds,,,
"Dorian (Baton Blue Daddy, #2)",Avery Tu,https://www.goodreads.com/book/show/61457550-dorian,,,
Still Summer Nights,Lillian Empire,https://www.goodreads.com/book/show/61373710-still-summer-nights,,,
"Raiden (Sons of the Fallen, #6)",Jaclyn Osborn,https://www.goodreads.com/book/show/60813263-raiden,,,
"Strut (Style, #2)",Jay Hogan,https://www.goodreads.com/book/show/60777558-strut,,,
Hot Wings (The Hot Cannolis #2),Eli Easton,https://www.goodreads.com/book/show/60423814-hot-wings,,,
A Tearful Dozen,Kieran Frank,https://www.goodreads.com/book/show/61780641-a-tearful-dozen,,,
"Tragic Flaw (Coleridge Cliffs, #0.5)",Jeris Jean,https://www.goodreads.com/book/show/60020926-tragic-flaw,,,
"Flare (Style, #1)",Jay Hogan,https://www.goodreads.com/book/show/60624917-flare,,,
Christmas in a Safe Room,Kieran Frank,https://www.goodreads.com/book/show/63837512-christmas-in-a-safe-room,,,
"Dash (Hart Consulting, #2)",Rae Marks,https://www.goodreads.com/book/show/59646391-dash,,,
"Scapegoat (Working Dogs, #1)",J.R. Gray,https://www.goodreads.com/book/show/60006984-scapegoat,,,
